;Acc;f1;Precision;Recall;ROC_AUC;NLL-Cross
CNN_323222[16, 32](5, 5)(2, 2)valid2[100, 50]6430False128;0.973684211;0.978723404;1.0;0.958333333;0.994047619;0.104385771
CNN_646412[16, 32](3, 3)(2, 2)same2[100, 50]6430False128;0.921052632;0.936170213;0.956521739;0.916666667;0.991071429;0.139028504
CNN_646422[16, 32](5, 5)(2, 2)same3[100, 50, 20]6430False128;0.921052632;0.936170213;0.956521739;0.916666667;0.982142857;0.188608781
RandomForest_VGG16_403232128;0.921052632;0.93877551;0.92;0.958333333;0.90327381;
VGG16_[200, 100]323230;0.9210526315789472;0.9268292682926828;0.95;0.9047619047619048;0.9775910364145658;0.2090538591146469
CNN_646411[16](5, 5)(2, 2)same0[0]6430False128;0.894736842;0.92;0.884615385;0.958333333;0.973214286;0.217302918
CNN_646411[16](3, 3)(2, 2)same0[0]6430False128;0.894736842;0.916666667;0.916666667;0.916666667;0.949404762;0.236288473
CNN_323211[16](3, 3)(2, 2)same0[0]6430False128;0.894736842;0.913043478;0.954545455;0.875;0.955357143;0.245930165
CNN_12012012[16, 32](5, 5)(2, 2)same2[100, 50]6430False128;0.894736842;0.916666667;0.916666667;0.916666667;0.982142857;0.282617897
CNN_323222[16, 32](3, 3)(2, 2)same2[100, 50]6430False128;0.894736842;0.916666667;0.916666667;0.916666667;0.952380952;0.308659196
CNN_323212[16, 32](5, 5)(2, 2)same3[100, 50, 20]6430False128;0.894736842;0.913043478;0.954545455;0.875;0.946428571;0.354871243
VGG16_[200, 100]120120128;0.894736842;0.913043478;0.954545455;0.875;0.970238095;0.362955093
CNN_12012011[16](5, 5)(2, 2)same0[0]6430False128;0.894736842;0.92;0.884615385;0.958333333;0.949404762;0.380442649
VGG16_[200, 100]3232128;0.8947368421052632;0.9130434782608695;0.9545454545454546;0.875;0.931547619047619;0.36384668946266174
CNN_646432[16, 32](5, 5)(2, 2)same2[100, 50]6430False128;0.894736842;0.913043478;0.954545455;0.875;0.967261905;0.427439541
CNN_646422[16, 32](3, 3)(2, 2)same2[100, 50]6430False128;0.894736842;0.916666667;0.916666667;0.916666667;0.964285714;0.439317942
CNN_646412[16, 32](5, 5)(2, 2)same2[100, 50]6430False128;0.894736842;0.92;0.884615385;0.958333333;0.955357143;0.462159604
RandomForest_403232128;0.894736842;0.913043478;0.954545455;0.875;0.952380952;
RandomForest_406464128;0.894736842;0.913043478;0.954545455;0.875;0.93452381;
RandomForest_VGG16_406464128;0.894736842;0.92;0.884615385;0.958333333;0.915178571;
RandomForest_40120120128;0.894736842;0.913043478;0.954545455;0.875;0.936011905;
RandomForest_VGG16_40120120128;0.894736842;0.916666667;0.916666667;0.916666667;0.898809524;
CNN_646411[16](5, 5)(2, 2)valid0[0]6430False128;0.868421053;0.893617021;0.913043478;0.875;0.958333333;0.238699719
CNN_323212[16, 32](5, 5)(2, 2)valid2[100, 50]6430False128;0.868421053;0.893617021;0.913043478;0.875;0.970238095;0.251240671
CNN_646412[16, 32](5, 5)(2, 2)same3[100, 50, 20]6430False128;0.868421053;0.897959184;0.88;0.916666667;0.973214286;0.251296848
CNN_646412[16, 32](5, 5)(2, 2)valid2[100, 50]6430False128;0.868421053;0.888888889;0.952380952;0.833333333;0.970238095;0.286399007
CNN_323211[16](5, 5)(2, 2)valid0[0]6430False128;0.868421053;0.893617021;0.913043478;0.875;0.949404762;0.294666201
CNN_323222[16, 32](5, 5)(2, 2)same2[100, 50]6430False128;0.868421053;0.893617021;0.913043478;0.875;0.967261905;0.302876323
CNN_323211[16](5, 5)(2, 2)same0[0]6430False128;0.868421053;0.893617021;0.913043478;0.875;0.925595238;0.342175603
CNN_323212[16, 32](5, 5)(2, 2)same2[100, 50]6430False128;0.868421053;0.893617021;0.913043478;0.875;0.958333333;0.34481591
CNN_323212[16, 32](3, 3)(2, 2)same2[100, 50]6430False128;0.868421053;0.893617021;0.913043478;0.875;0.946428571;0.362199813
CNN_323211[16](5, 5)(2, 2)same0[0]True0.36430True128;0.868421053;0.893617021;0.913043478;0.875;0.869047619;0.427966028
CNN_323232[16, 32](5, 5)(2, 2)same2[100, 50]6430False128;0.868421053;0.897959184;0.88;0.916666667;0.898809524;0.456185043
CNN_646422[16, 32](5, 5)(2, 2)same3[100, 50, 20]True0.36430True128;0.868421053;0.893617021;0.913043478;0.875;0.851190476;0.495764673
CNN_646422[16, 32](5, 5)(2, 2)same2[100, 50]6430False128;0.868421053;0.897959184;0.88;0.916666667;0.973214286;0.503647327
CNN_323211[16](5, 5)(2, 2)same0[0]6430True128;0.842105263;0.869565217;0.909090909;0.833333333;0.860119048;0.454075246
RandomForest_VGG16_40323230;0.842105263;0.869565217;0.8;0.952380952;0.959383754;
RandomForest_40646430;0.842105263;0.85;0.894736842;0.80952381;0.880952381;
CNN_646411[16](5, 5)(2, 2)same0[0]6430True128;0.842105263;0.869565217;0.909090909;0.833333333;0.910714286;0.375157714
CNN_646422[16, 32](5, 5)(2, 2)same2[100, 50]6430True128;0.842105263;0.863636364;0.95;0.791666667;0.907738095;0.44055903
CNN_646412[16, 32](5, 5)(2, 2)same3[100, 50, 20]True0.36430True128;0.842105263;0.869565217;0.909090909;0.833333333;0.860119048;0.491654605
CNN_323212[16, 32](5, 5)(2, 2)same3[100, 50, 20]True0.36430True128;0.842105263;0.875;0.875;0.875;0.833333333;0.546534121
CNN_323212[16, 32](5, 5)(2, 2)same2[100, 50]True0.36430True128;0.842105263;0.869565217;0.909090909;0.833333333;0.830357143;0.56384027
CNN_646412[16, 32](5, 5)(2, 2)same2[100, 50]True0.36430True128;0.842105263;0.869565217;0.909090909;0.833333333;0.854166667;0.568172634
CNN_12012022[16, 32](5, 5)(2, 2)same2[100, 50]6430False128;0.842105263;0.869565217;0.909090909;0.833333333;0.949404762;0.952915013
CNN_646442[16, 32](5, 5)(2, 2)same2[100, 50]6430False128;0.842105263;0.869565217;0.909090909;0.833333333;0.928571429;1.387459874
CNN_646411[16](5, 5)(2, 2)same0[0]True0.36430True128;0.815789474;0.844444444;0.904761905;0.791666667;0.925595238;0.42154181
CNN_646412[16, 32](5, 5)(2, 2)same2[100, 50]6430True128;0.815789474;0.85106383;0.869565217;0.833333333;0.87797619;0.439920932
CNN_323222[16, 32](5, 5)(2, 2)same3[100, 50, 20]True0.36430True128;0.815789474;0.857142857;0.84;0.875;0.848214286;0.511392772
CNN_646422[16, 32](5, 5)(2, 2)same2[100, 50]True0.36430True128;0.815789474;0.844444444;0.904761905;0.791666667;0.886904762;0.526585639
CNN_323222[16, 32](5, 5)(2, 2)same2[100, 50]True0.3True0.36430False128MC;0.815789474;0.85106383;0.869565217;0.833333333;0.363095238;0.423524513
VGG16_[200, 100]646430;0.815789474;0.829268293;0.85;0.80952381;0.924369748;0.437929666
CNN_323222[16, 32](5, 5)(2, 2)same2[100, 50]6430True30;0.815789474;0.837209302;0.818181818;0.857142857;0.868347339;0.447722824
RandomForest_40323230;0.815789474;0.837209302;0.818181818;0.857142857;0.904761905;
RandomForest_VGG16_40646430;0.815789474;0.857142857;0.75;1.0;0.829131653;
CNN_646422[16, 32](5, 5)(2, 2)same2[100, 50]6430False30;0.789473684;0.818181818;0.782608696;0.857142857;0.792717087;1.341663988
CNN_323222[16, 32](5, 5)(2, 2)same3[100, 50, 20]6430False128;0.789473684;0.84;0.807692308;0.875;0.93452381;0.363472939
CNN_323222[16, 32](5, 5)(2, 2)same2[100, 50]True0.36430True128;0.789473684;0.84;0.807692308;0.875;0.839285714;0.469516188
CNN_646422[16, 32](5, 5)(2, 2)valid2[100, 50]6430False128;0.789473684;0.818181818;0.9;0.75;0.925595238;0.471150339
CNN_323222[16, 32](5, 5)(2, 2)same2[100, 50]6430True128;0.789473684;0.818181818;0.9;0.75;0.824404762;0.570003331
CNN_323242[16, 32](5, 5)(2, 2)same2[100, 50]6430False128;0.763157895;0.808510638;0.826086957;0.791666667;0.875;0.474416137
CNN_323212[16, 32](5, 5)(2, 2)same2[100, 50]6430True30;0.763157895;0.780487805;0.8;0.761904762;0.806722689;0.528549144
CNN_323211[16](5, 5)(2, 2)same0[0]6430True30;0.763157895;0.780487805;0.8;0.761904762;0.778711485;0.561425209
CNN_646411[16](5, 5)(2, 2)same0[0]6430True30;0.763157895;0.790697674;0.772727273;0.80952381;0.761904762;0.589487816
CNN_323212[16, 32](5, 5)(2, 2)same2[100, 50]6430False30;0.736842105;0.782608696;0.72;0.857142857;0.868347339;0.590020666
CNN_646412[16, 32](5, 5)(2, 2)same2[100, 50]6430False30;0.736842105;0.772727273;0.739130435;0.80952381;0.845938375;0.956008516
CNN_323212[16, 32](5, 5)(2, 2)same2[100, 50]6430True128;0.736842105;0.761904762;0.888888889;0.666666667;0.851190476;0.617795348
CNN_323211[16](5, 5)(2, 2)same0[0]6430False30;0.710526316;0.717948718;0.777777778;0.666666667;0.80952381;0.543493371
CNN_646412[16, 32](5, 5)(2, 2)same2[100, 50]6430True30;0.710526316;0.744186047;0.727272727;0.761904762;0.781512605;0.561840443
CNN_646411[16](5, 5)(2, 2)same0[0]6430False30;0.710526316;0.744186047;0.727272727;0.761904762;0.784313725;0.655533254
CNN_323222[16, 32](5, 5)(2, 2)same2[100, 50]6430False30;0.684210526;0.684210526;0.764705882;0.619047619;0.848739496;0.793340426
CNN_646422[16, 32](5, 5)(2, 2)same2[100, 50]6430True30;0.578947368;0.5;0.727272727;0.380952381;0.761904762;0.860804213
RandomForest_40120120128;0.894736842;0.913043478;0.954545455;0.875;0.936011905;
VGG16_[200, 100]120120128;0.894736842;0.913043478;0.954545455;0.875;0.970238095;0.362955093
RandomForest_VGG16_40120120128;0.894736842;0.916666667;0.916666667;0.916666667;0.898809524;
CNN_323222[16, 32](5, 5)(2, 2)same2[100, 50]True0.3True0.36430False128MC;0.815789474;0.85106383;0.869565217;0.833333333;0.363095238;0.423524513
RandomForest_40323230;0.815789474;0.837209302;0.818181818;0.857142857;0.904761905;
VGG16_[200, 100]323230;0.9210526315789472;0.9268292682926828;0.95;0.9047619047619048;0.9775910364145658;0.2090538591146469
RandomForest_VGG16_40323230;0.842105263;0.869565217;0.8;0.952380952;0.959383754;
CNN_323211[16](5, 5)(2, 2)same0[0]6430False30;0.710526316;0.717948718;0.777777778;0.666666667;0.80952381;0.543493371
CNN_323212[16, 32](5, 5)(2, 2)same2[100, 50]6430False30;0.736842105;0.782608696;0.72;0.857142857;0.868347339;0.590020666
CNN_323222[16, 32](5, 5)(2, 2)same2[100, 50]6430False30;0.684210526;0.684210526;0.764705882;0.619047619;0.848739496;0.793340426
RandomForest_40646430;0.842105263;0.85;0.894736842;0.80952381;0.880952381;
VGG16_[200, 100]646430;0.815789474;0.829268293;0.85;0.80952381;0.924369748;0.437929666
RandomForest_VGG16_40646430;0.815789474;0.857142857;0.75;1.0;0.829131653;
CNN_646411[16](5, 5)(2, 2)same0[0]6430False30;0.710526316;0.744186047;0.727272727;0.761904762;0.784313725;0.655533254
CNN_646412[16, 32](5, 5)(2, 2)same2[100, 50]6430False30;0.736842105;0.772727273;0.739130435;0.80952381;0.845938375;0.956008516
CNN_646422[16, 32](5, 5)(2, 2)same2[100, 50]6430False30;0.789473684;0.818181818;0.782608696;0.857142857;0.792717087;1.341663988
CNN_323211[16](5, 5)(2, 2)same0[0]6430True30;0.763157895;0.780487805;0.8;0.761904762;0.778711485;0.561425209
CNN_323212[16, 32](5, 5)(2, 2)same2[100, 50]6430True30;0.763157895;0.780487805;0.8;0.761904762;0.806722689;0.528549144
CNN_323222[16, 32](5, 5)(2, 2)same2[100, 50]6430True30;0.815789474;0.837209302;0.818181818;0.857142857;0.868347339;0.447722824
CNN_646411[16](5, 5)(2, 2)same0[0]6430True30;0.763157895;0.790697674;0.772727273;0.80952381;0.761904762;0.589487816
CNN_646412[16, 32](5, 5)(2, 2)same2[100, 50]6430True30;0.710526316;0.744186047;0.727272727;0.761904762;0.781512605;0.561840443
CNN_646422[16, 32](5, 5)(2, 2)same2[100, 50]6430True30;0.578947368;0.5;0.727272727;0.380952381;0.761904762;0.860804213
CNN_323212[16, 32](5, 5)(2, 2)valid2[100, 50]6450False128;0.9210526315789472;0.9387755102040816;0.92;0.9583333333333334;0.9672619047619048;0.2579813490278627
CNN_323211[16](5, 5)(2, 2)valid0[0]6450False128;0.868421052631579;0.8936170212765957;0.9130434782608696;0.875;0.9613095238095236;0.2516280393067159
CNN_323211[16](5, 5)(2, 2)same0[0]6450False128;0.8947368421052632;0.9166666666666666;0.9166666666666666;0.9166666666666666;0.9672619047619048;0.2346290804837879
CNN_323212[16, 32](5, 5)(2, 2)same2[100, 50]6450False128;0.8947368421052632;0.9166666666666666;0.9166666666666666;0.9166666666666666;0.9583333333333331;0.449533099063525
CNN_323212[16, 32](5, 5)(2, 2)same3[100, 50, 20]6450False128;0.868421052631579;0.8936170212765957;0.9130434782608696;0.875;0.9464285714285714;0.5008288433922357
CNN_323222[16, 32](5, 5)(2, 2)same2[100, 50]True0.3True0.36450False128MC;0.8947368421052632;0.9130434782608696;0.9545454545454546;0.875;0.4255952380952381;0.3504680591194253
CNN_323232[16, 32](5, 5)(2, 2)same2[100, 50]6450False128;0.868421052631579;0.888888888888889;0.9523809523809524;0.8333333333333334;0.9315476190476192;1.1088621362210496
VGG16_[200, 100]32320;0.8947368421052632;0.9166666666666666;0.88;0.9565217391304348;0.8579710144927537;0.647472083568573
VGG16_[200, 100]323225;0.8157894736842105;0.8571428571428572;0.875;0.84;0.9046153846153846;0.4180673062801361
VGG16_[200, 100]3232240;0.9210526315789473;0.9302325581395349;0.9523809523809523;0.9090909090909091;0.9573863636363636;0.25709235668182373
VGG16_[200, 100]323264;0.8421052631578947;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8249158249158249;0.6054940819740295
